         2914 function calls (2869 primitive calls) in 0.654 seconds

   Ordered by: internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 base.py:2881(get_loc)
        1    0.000    0.000    0.001    0.001 indexing.py:1082(_getitem_iterable)
        2    0.000    0.000    0.000    0.000 base.py:711(_engine)
        1    0.000    0.000    0.000    0.000 base.py:4370(equals)
        1    0.000    0.000    0.000    0.000 managers.py:340(_verify_integrity)
       13    0.000    0.000    0.000    0.000 numeric.py:504(asanyarray)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1236(squeeze)
        1    0.000    0.000    0.001    0.001 frame.py:3453(__setitem__)
        1    0.000    0.000    0.000    0.000 managers.py:1223(reindex_indexer)
        8    0.000    0.000    0.000    0.000 common.py:608(is_period_dtype)
        1    0.000    0.000    0.000    0.000 base.py:1185(__iter__)
        2    0.000    0.000    0.000    0.000 getlimits.py:376(__new__)
        1    0.000    0.000    0.000    0.000 indexing.py:2327(convert_to_index_sliceable)
        7    0.000    0.000    0.000    0.000 common.py:1163(is_datetime64_any_dtype)
        5    0.000    0.000    0.000    0.000 base.py:614(_get_attributes_dict)
        4    0.000    0.000    0.000    0.000 common.py:225(is_object_dtype)
        2    0.000    0.000    0.000    0.000 {built-in method nt.urandom}
        4    0.000    0.000    0.000    0.000 managers.py:654(<listcomp>)
        1    0.000    0.000    0.001    0.001 frame.py:3532(_set_item)
        5    0.000    0.000    0.000    0.000 base.py:1012(_ndarray_values)
        3    0.000    0.000    0.000    0.000 indexing.py:1696(_validate_key)
        1    0.000    0.000    0.000    0.000 numerictypes.py:950(find_common_type)
        1    0.000    0.000    0.000    0.000 blocks.py:1292(take_nd)
        1    0.000    0.000    0.000    0.000 managers.py:789(as_array)
        3    0.000    0.000    0.000    0.000 blocks.py:313(_slice)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1471(ravel)
       14    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 managers.py:132(<listcomp>)
        2    0.000    0.000    0.000    0.000 function_base.py:4476(append)
        5    0.000    0.000    0.000    0.000 common.py:1585(is_float_dtype)
        4    0.000    0.000    0.000    0.000 numeric.py:701(<genexpr>)
        2    0.000    0.000    0.000    0.000 base.py:4814(_maybe_promote)
        1    0.000    0.000    0.000    0.000 base.py:3149(_convert_slice_indexer)
        3    0.000    0.000    0.000    0.000 algorithms.py:1481(_get_take_nd_function)
        1    0.000    0.000    0.000    0.000 managers.py:764(copy)
       18    0.000    0.000    0.000    0.000 blocks.py:341(dtype)
        5    0.000    0.000    0.000    0.000 common.py:357(is_categorical)
        5    0.000    0.000    0.000    0.000 generic.py:511(ndim)
        5    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 base.py:4135(_coerce_scalar_to_index)
        1    0.000    0.000    0.000    0.000 generic.py:3381(_set_item)
        1    0.000    0.000    0.000    0.000 generic.py:5892(copy)
        1    0.000    0.000    0.000    0.000 numeric.py:387(_convert_slice_indexer)
        1    0.000    0.000    0.000    0.000 indexing.py:1286(_get_slice_axis)
        8    0.000    0.000    0.000    0.000 blocks.py:131(_check_ndim)
        5    0.000    0.000    0.000    0.000 indexers.py:13(is_list_like_indexer)
        4    0.000    0.000    0.000    0.000 common.py:352(apply_if_callable)
        3    0.000    0.000    0.000    0.000 generic.py:186(_init_mgr)
        7    0.000    0.000    0.000    0.000 base.py:701(_reset_identity)
        5    0.000    0.000    0.000    0.000 base.py:618(<dictcomp>)
